,source,target,sampled
264,a cat laying inside of a sink under a fixture,a cat sitting in the sink in the bathroom, a cat laying in the window in a kitchen
265,a boy sliding down a waterslide at a waterpark,a kid is laying down on a board in the water, a boy is sliding down on a trampoline in a lake
266,people in a grocery story that sells fruit and drinks,a man is at the counter by a bowl of fruit, a group of people are at some fruit and a woman
267,a cat sits on the edge of a toilet,a cat is laying on a toilet seat, a cat is sitting on a sofa counter
268,a table full of bananas being sold outside,a big bin filled with some ripe yellow bananas, a large fruit filled with many different kinds of items
269,a person is flying a biplane in the sky,a red and white plane flying through a cloudy sky, a red and white bird flying through a sky sky
270,a big brown horse pulling a cart near a tree,a horse tethered to a carriage near trees, a horse drags a cart over a tree outside
271,a contestant has caught a sheep during a rodeo event,we are looking through the bars of a fence into a rodeo arena, during the rodeo one is trying to the a bull in a rodeo competition
272,a long silver train traveling through a small city,two passenger trains on opposite tracks speeding down the tracks, large train moving down narrow narrow road towards traffic
273,a herd of giraffe walking along a grassy tree covered plain,a small herd of giraffe standing in a plain, a large golden retriever in front of a fence
274,a man with a bald head wearing a pair of glases,a man holding a cell phone that is powered on, a man wearing a bandanna and tie is smiling
275,a dog sitting on the couch with it s paw over a tray that holds remotes for the tv and wii,a dog is sitting on a couch by a remote, a dog is sitting on a couch with a toy
276,a man works on his laptop in the dark,man looking at laptop playing video game in the dark, man on his laptop computer looking at the computer screen
277,a man is cross country skiing in the snow,a skier makes his way up a snowy hill eschewing the lift, a mountaineer gets ready to jump his bike through a snowy landscape
278,a city s downtown skyline at dusk on the waterfront,a city ferry sits docked with the city in the background, a city skyline illuminated with lights in the background
279,the man is listening on his cell phone,the man in a red hat is listening on his cell phone, man in a blue shirt talking on his cellphone
280,a group of women playing a game of soccer on field,a group of women running after a soccer ball, a group of women playing soccer
281,the bench is in a shady area surrounded by plants,a small bench in front of a building, a view of trees
282,a person on a surfboard in the water,a surfer is in the middle of an ocean wave, a surfer is in the water wearing bright blue shorts
283,a woman standing next to a princess parking only sign,a woman stands near a humorous parking sign, a woman stands near a parking meter
284,a polar bear with his chin raised lies on a rock,a large white polar bear sitting on top of a rock, a large golden retriever sitting on a rock face over
285,a restaurant table with a plate of vegetable pizza and garnishment,a whole freshly made pizza in a restaurant, a teppanyaki restaurant has a plate of food
